"ano","mês","dia","mean(Direcao.Vento)","mean(Veloc.Vento)","mean(Precip.acumulada)","mean(Temp.Ar)","mean(Ponto.Orvalho)","max(Temp.minima)","max(Temp.maxima)","mean(Umidade.Ar)"
"1",2015,1,1,73.75,6.6375,0,26.9625,19.325,23.8,31.6,63.875
"2",2015,1,2,26.25,6.7375,0,27.225,19.725,24.3,31.5,64.5
"3",2015,1,3,33.75,6.5,0,27.3625,19.975,24.1,32.1,64.875
"4",2015,1,4,73.75,5.9375,0,26.9375,19.15,23.8,32.3,64
"5",2015,1,5,72.5,5.2125,0,26.6,19.325,21.1,31.8,65.125
"6",2015,1,6,156.25,4.3125,0,26.2125,19.825,23.3,30.8,68.5
"7",2015,1,7,115,4.1125,0,26.125,18.875,22.4,29.9,65.5
"8",2015,1,8,155,4.625,0,25.6125,18.4875,21.4,30.6,65.875
"9",2015,1,9,183.333333333333,4.86666666666667,0,26.0666666666667,19.0333333333333,21.6,0,66.1666666666667
"10",2015,1,10,151.25,5.8625,0,26.1375,19.4,21.9,30,67.25
"11",2015,1,11,112.5,6.25,0,27.075,19.525,23.9,30.9,64.625
"12",2015,1,12,106.25,6.8875,0,27.475,20.1,24.6,31.8,65.25
"13",2015,1,13,115,7.275,0,27.15,17.2,25.2,32.2,55.875
"14",2015,1,14,161.25,5.6625,0,26.55,19.775,23.7,30.5,67.125
"15",2015,1,15,112.5,6.125,0,26.8125,19.5125,23,30.2,65.125
"16",2015,1,16,200,5.2125,0,26.875,19.4375,23.9,30.9,64.75
"17",2015,1,17,165.714285714286,4.62857142857143,0,26.1285714285714,18.7285714285714,0,30.7,65.4285714285714
"18",2015,1,18,68.75,6.4375,0,27.425,19.725,24.2,31.2,64.375
"19",2015,1,19,118.75,5.6,0,26.6875,19.2,23.9,33.1,65
"20",2015,1,20,110,5.675,0,26.9625,19.6625,23.9,31.8,65.5
"21",2015,1,21,115,6.875,0,26.8875,19.325,23.9,31.4,63.875
"22",2015,1,22,75,5.6625,0,27.2375,20.15,24,31.4,66.5
"23",2015,1,23,61.25,4.45,0,25.8375,19.5,24,32,68.375
"24",2015,1,24,30,5.4625,0,27.0125,19.875,23.8,28.7,66.25
"25",2015,1,25,103.75,4.675,0,26.4375,19.625,22.3,31.1,67.375
"26",2015,1,26,121.428571428571,5.3,0,27.1428571428571,19.8,23.5,0,65.2857142857143
"27",2015,1,27,76.25,5.675,0,27,20.8,24.5,31.8,69.375
"28",2015,1,28,112.5,5.9375,0,27.1625,20.0375,24.4,30.9,66
"29",2015,1,29,148.75,5.35,0,27.8125,20.85,23.8,32.2,69
"30",2015,1,30,106.25,5.925,0,28.1125,19.525,24.1,33.1,61.75
"31",2015,1,31,116.25,4.825,0,27.375,19.825,23.6,34.9,64.75
"32",2015,2,1,175,4.5125,0,26.7625,20.1875,23,31.8,68.375
"33",2015,2,2,153.75,5.2875,0,27.325,19.575,24.6,31.6,64
"34",2015,2,3,90,6.43333333333333,0,27.6833333333333,19.5333333333333,24,32.6,62.1666666666667
"35",2015,2,4,148.75,6.4875,0,27.675,19.525,25,31.2,62.625
"36",2015,2,5,62.8571428571429,4.25714285714286,0.0857142857142857,26.0571428571429,20.1428571428571,24.6,32.7,70
"37",2015,2,6,90,4.72,0.8,25.84,20.86,24.4,0,74
"38",2015,2,7,94,4.54,1.4,25.14,21.72,23.5,0,81.4
"39",2015,2,8,84,4.82,3.4,25.96,21.84,22.8,0,78.8
"40",2015,2,9,190,4.36666666666667,0.116666666666667,25.9,20.7333333333333,23,0,74
"41",2015,2,10,31.4285714285714,5.28571428571429,1.42857142857143,26.7857142857143,21.0571428571429,24.1,30.5,71.4285714285714
"42",2015,2,11,117.5,4.95,0,26.4875,20.5125,22.1,30.3,71.25
"43",2015,2,12,154.285714285714,3.82857142857143,0,27.1714285714286,20.2428571428571,22.5,0,69
